课程名称,课程属性,公选课领域,授课老师,课程内容与评价,考勤与平时作业,期末考核方式,课程成绩,,
乒乓球,体育课,非公选课,李宜姗,好喜欢老师，给分巨好,日常点名，最后会要求写500字的心得,接发球，正反手，各30个,96,,
西方哲学史,通识选修课（公选课）,社会科学与现代社会,赵林等四位,老师讲的很好，但给分一般，20%不到80分,无！！！！！！！！！！！！！,开卷考试，很有难度！！！！,68,,
国外新闻业与新闻英语,通识选修课（公选课）,社会科学与现代社会,三个老师,认真听的话会学到挺多，双语授课大部分时候还是英语,每次课都签到，有一个小组pre，提问很随意，有一次作业上课听了就很简单,开卷考试，老师会发复习大纲，但是大概只有一半的题能找到答案,92,,
税收与我们的生活,通识选修课（公选课）,社会科学与现代社会,王玮,税收和生活的关系，如何算个人所得税,点名1-2次，有一次学习通问题讨论作业，一次课堂作业算个人所得税,3000字论文，基本平时课堂作业那个税算对了就问题不大，但对的人很少,91,,
创新思维与方法,通识选修课（公选课）,科学精神与生命关怀,谢皓,主要讲关于创新的思维、方法。,每次课都有微助教签到（注意下签到顺序，有时前三后三要回答问题）。有小组展示一次。,结合上课内容，有三周时间写老师出的几道创新题目。给分很不错。,93,,
计算机基础,通识选修课（公选课）,科学精神与生命关怀,刘珺,给分不错，每堂课都微助教签到，每节课都有大小作业，认真做就会满绩。,每堂课都有大小作业，一共六个。,就是平时作业的评分，即最后成绩。,90,,
地图历史与文化,通识选修课（公选课）,中华文化与世界文明,李连营,地图历史，制图技术以及一些现代地图信息技术,倒数第二节或者最后一节课点名，有一道小思考题，结课提交3000字论文或地图作品，学习感想。,3000字论文或者一幅原创的地图作品,92,,
大学物理,公共课（高数、线代、大物和思政课等）,非公选课,沈黄晋,大学物理课程相关内容,有签到 多得很 事情很多,考试ksksksks考试啊,88,,
宏观经济学,专业课程,非公选课,肖利平,封神，学术圈白月光，女同天菜,很少很少，签到是那种点进去就算的那种，就检查两次作业,统一考试，老师会狠狠捞人,95,,
东方电影与东方文化,通识选修课（公选课）,艺术体验与审美鉴赏,黄献文,很不错，平时就是看电影,无签到，无平时作业，上课就是看电影,开卷写影评，一般是两千字左右,92,,
考古与人类文明进程,通识选修课（公选课）,中华文化与世界文明,余西云,史前考古知识，很丰富有趣,签到过一次，没有提问和展示等,读书笔记结课，两篇分别2000字,92,,
西方哲学,专业课程,非公选课,郝长墀,"用《大问题》这本书，讲“正义”“道德”“美”“自我”这些主题。对课前阅读有一定要求，但其实不读也可以，偶尔会点人回答问题。
每讲完一章会有一次讨论课，每个小组都要发言，话题还是很有趣的。
老师人很好，给分也好。","第一次课老师重点强调了出勤问题，点名不到三次没有平时分。实际上没有每节课都点名，如果生病请假老师也能理解。
期中有一篇三千字论文。",论文结课，五千字，和课程内容相关,93,,
宏观经济学,专业课程,非公选课,黄永明,宏观经济学及相关内容,随机点名，作业很多，老师人还不错,考试。                                ,55,,
综合体育2,体育课,非公选课,程黎菊,虽为综合体育但是教的是排球。,平时会有点名当做平时分。,小组传垫球，自己发球,94,,
无,通识选修课（公选课）,中华文化与世界文明,我也,呜呜呜呜呜呜呜呜呜呜呜,可以可以可以可以可以可以可以可以,看快快快快快快快快快,66666666666,,
色彩原理与运用,通识选修课（公选课）,艺术体验与审美鉴赏,马桃林,色彩原理的内容，比较枯燥，后面几节课会涉及色彩的实际运用,点名1次，按照学院顺序。两篇小作业和一篇4页的结课论文，内容都是色彩应用分析。,4页以内的色彩应用分析结课论文，图文并茂。,92,,
宏观经济学,专业课程,非公选课,丁宇澄,宏观经济学，老师人很好，用的是曼昆，ppt英文的,有随机签到，作业会布置但不交,闭卷，大概5-6个题，不是很难,90,,
经典广告案例赏析,通识选修课（公选课）,艺术体验与审美鉴赏,王晔,分享广告案例看些获奖的精彩视频,签到偶尔有，不定时，作业只有期末,设计广告案例，参加或者不参加大赛都行,80,,
微观经济学,专业课程,非公选课,蒋盛君,大一上的专业课，老师超级好！,不点名，有随堂小测，有期中,平台考试，但是最后老师真的狠狠捞,90,,
现代媒介传播概览,通识选修课（公选课）,社会科学与现代社会,冉华,讲媒介的传播，不太记得了,不签到，期中一次小组作业案例分析,期末随堂完成课程感想，有字数要求,95,,
古典音乐大师,通识选修课（公选课）,艺术体验与审美鉴赏,江柏安,非常棒！就狠狠冲，老师人很有趣，给分一级棒,没有签到，但每节课都有小测,答题，题目可能比较有要求，但是可以交流,99,,
古典音乐与西方文明,通识选修课（公选课）,艺术体验与审美鉴赏,葛佳嘉,很不错，主题是听听音乐学学理论,全程学习通测试，辨别歌曲,学习通测试，辨别歌曲和理论,91,,
唐宋词撞击,专业课程,非公选课,汪超,课程内容很专业，不是文院学生还是别选了,随机签到，不提问，无小组展示和论文，唯一作业就是抄写诗词,闭卷考试，平时作业是抄写诗词,92,,
教育心理学,专业课程,非公选课,白宝玉,教育心理学的相关知识,闭卷考试，书评，小组授课，有趣,闭卷考试，老师会划范围,95,,
神奇的人体免疫,通识选修课（公选课）,科学精神与生命关怀,多位医学院老师共同授课,老师讲课很有趣，常常放视频,每节课有签到，不提问,结课分为小组作业和个人作业两部分，小组作业可以有PPT微视频情景剧等等，个人作业有海报设计写小说手抄报等等。,90,,
大国外交,通识选修课（公选课）,中华文化与世界文明,蓉老师,老师讲的很好，只有一次小组展示和手写论文,2000字论文，不考勤,2000字手写论文，然后小组展示一次,95,,
智慧城市,通识选修课（公选课）,社会科学与现代社会,任福,很好 每节课不同老师讲,无考勤 只有最后一个大作业,一个大作业做ppt或者pdf,97,,
媒介素养,通识选修课（公选课）,社会科学与现代社会,王松茂,"课程内容：能学到东西，有些事例比较有趣，整体偏枯燥
老师情况：讲课不错，人也很好
学生情况：基本都不听（提问的时候没有人了参与），逃课也很多
给分情况：很随意，且存在卡绩。每次作业认真做，没缺勤，承包小组作业，期末论文认真打磨只得3.7；一次课都不去，小组展示装死，期末随便copy最后也是3.7
整体评价：每学期授课老师不一样，差距比较明显。想要4.0的uu慎选wsm的媒介素养，给分相当不合理。不推荐。",一次签到，没有点名提问，一次小组展示，一次大作业，最后论文结课,论文结课，交纸质，可打印可手写，不查重,88,,
数字地形测量学,专业课程,非公选课,胡志刚,老师人很好，就是对本课重点的把握略有偏失,老师有时签到，不提问，作业ddl到了可以找助教,平时分＋期末考试，实验是另外一个课头,90,,
高级英语,英语课,非公选课,徐丽,新一代高级英语发展篇，老师人很好,考勤频次较高，偶尔留作业,分为口语和笔试，老师会捞,87,,
数字图像处理,专业课程,非公选课,田昕,课程很水，给分很好，内容也比较简单,有时会课上做题，作为签到，然后会有两次上机作业,期末考试，考试题目比较简单基本上是往年题,94,,
军事理论与训练,公共课（高数、线代、大物和思政课等）,非公选课,唐蓉,老师上课的ppt内容很丰富，讲课也很有趣，还会放很多视频，但整体并没有脱离教材，还会划重点,有一次小组展示，5-6人一组，我们当时是以“安全”为话题作ppt或者视频展示。上课时不时会问问题，让同学们在群里发消息交流。有一次期中开卷考试，不过很简单不用担心。老师给分很好，期末闭卷，但我只背了1个小时最后总评94，只能说老师绝对是神！,期末闭卷考试，可能会直接给题库或者复习资料、范围之类的,94,,
古典音乐与西方文明,通识选修课（公选课）,艺术体验与审美鉴赏,葛佳嘉,老师讲课挺有意思的，感觉不错,有一次签到，两次小测,闭卷考试，常识题和听歌识曲,90,,
音乐欣赏,通识选修课（公选课）,艺术体验与审美鉴赏,江柏安,主要讲音乐，老师很有趣,没考勤，每节课之后有小测,五十个选择题，挺简单的,90,,
高等数学C1,公共课（高数、线代、大物和思政课等）,非公选课,童欣,老师讲的很细致！作业量不多，给分也很不错,无签到，作业不多，一次期中但不计分,芝士全校的统一期末考试,94,,
高数,公共课（高数、线代、大物和思政课等）,非公选课,冯慧,如果你想及格可以选，高分速run,不考勤 不看作业 没提问 事极少,考试。。。。。。。。。,84,,
认知信息管理,专业课程,非公选课,徐佑军,讲的很开放，但是给分难看的一批，故意卡寄，满寄点很少,一次不限字数paper，上厕所的时候故意点名,结课论文，没有其他考核要求,84,,
体育,体育课,非公选课,秦子来,考勤 事多 人比较严 课程内容强度低 别选,严格按照考试等成绩 速run,严格按照考试等成绩 速run（成绩高因为我体育好）,96,,
软件技术基础,专业课程,非公选课,王翀,神！！！讲课及其负责 内容讲解透彻,考勤少，会有小测，但成绩不一定如实登记你懂得,考试70 平时30 半个班满,95,,
模电,专业课程,非公选课,唐学兵,讲课极好，没有口音，答疑认真，有复习,考勤两次，平时作业少，无提问,考试70，平时分基本给满,98,,
大学英语1,公共课（高数、线代、大物和思政课等）,非公选课,钱妍,老师人很温柔呜呜呜大家可冲,会有2－3次小组pre，1次个人pre，3篇作文,50平时分（不用做we learn主要看视听说），50期末,88,,
中医养生概要,通识选修课（公选课）,科学精神与生命关怀,宋恩峰,这门课真的超级棒，老师有4个，每个老师两次课，蛮有用的，而且很有意思，就是只有一学分，但是也只用上到第八周，而且一周只有两节课,无签到，无提问，无小组展示，只有结业论文，有慕课选择题作业,好像是2000字论文，内容写怎么运用中医药养生,96,,
军理,公共课（高数、线代、大物和思政课等）,非公选课,唐蓉,这课你懂得，给分是军理里面最低的，速去何华爹的,无考勤，两次报告，有期中（服了）,看心情给，满的不多，很迷,90,,
流行音乐,通识选修课（公选课）,艺术体验与审美鉴赏,王渊,介绍流行音乐，看到王老师的课直接冲！！！,不签到也没有平时作业,三选一。原创、翻唱/演绎、乐评,92,,
大英,公共课（高数、线代、大物和思政课等）,非公选课,何发兵,神！！！大英给分顶尖选手，不评价，冲,大英是必须去的，可能有1次pre，所有平时成绩90起评,考试50，平时基本给满，但是一个班有规定只能一个满绩，很多85,87,,
芭蕾艺术,通识选修课（公选课）,艺术体验与审美鉴赏,洪一鸣,会教授基本芭蕾舞姿以及三支小舞蹈,偶尔点名，结课舞蹈展示，手写信,三支小舞蹈展示，老师打分,98,,
大学英语2,英语课,非公选课,杨小艳,老师上课认真负责，会讲一些拓展内容,签到和小组展示，4篇作文，两次听写,全校闭卷统一考试，听力?笔试,89,,
肿瘤离我们有多远,通识选修课（公选课）,科学精神与生命关怀,宋启斌,每节课都会有不同的老师来讲解不同的癌症,随机签到，没有作业和pre,5000字论文，随机查重,93,,
高级英语,英语课,非公选课,唐军俊,老师人超级好，很喜欢授课方式,个人pre，小组pre,考试，口语，pre，iwrite,92,,
组织管理心理学,专业课程,非公选课,严瑜,主要讲的是企业和组织中的心理现象，描述、解释、预测和管理企业中员工的行为，并对员工的负性情绪进行一定的调节和缓解。课的话讲得还是挺好的，老师上课讲话很风趣幽默，内容也很贴近现实，对以后去企业或公司上班的同学有挺大作用,每节课都点名，点名算平时分；提问会抽人问问题；有一个期中作业，内容是书上的课后习题,期末考试，线下笔试，闭卷,88,,
旅行生活与寄生虫病,通识选修课（公选课）,社会科学与现代社会,蔡国斌等,讲旅行时吃穿住行等方面会感染的寄生虫，中间有问卷调查的环节，期末去医学部使用显微镜观察。,不考勤，只有期末论文，还有纸质版问卷调查,提交电子版小论文即可,94,,
外交礼仪与谈判,通识选修课（公选课）,社会科学与现代社会,吴蔚,老师讲的很不错 很有意思 推荐 ,有签到 闭卷考试 但是很简单 看一眼就行,闭卷考试 很简单 看一眼就行,95,,
乡土建筑赏析,通识选修课（公选课）,中华文化与世界文明,王炎松,乡土建筑，老师讲课特别特别有趣,两次点名，无作业。。。。。,开卷考试. 。。。。。。,90,,
大物b实验,公共课（高数、线代、大物和思政课等）,非公选课,吴昊,实验很水任务很少 速冲,9个实验报告都有签到,可能有考试也可能没考试,94,,
唐宋词专题,专业课程,非公选课,汪超,开卷考试，老师很渊博，给分不错,偶尔签到，作业抄宋词,开卷考试，写赏析，不是很困难,88,,
现当代女性文学,专业课程,非公选课,叶李,评论跟文学有关的网络小说电视剧，当然主要还是讲授中国现当代的女性文学,小作业制作读后感推文,论文，类似于文学评论，三千字以上,87,,
文学概论,专业课程,非公选课,袁劲,这辈子上过最好的课，期末轻松给分好,小组作业，基本不考勤,闭卷考试，平时会有一次小组读书作业,98,,
科技与考古,通识选修课（公选课）,科学精神与生命关怀,潘,老师人特别特别好，论文认真写给分很好，事少,签到，线上回帖6次以上,2000字论文+平时讨论与线下签到,94,,
环境与人类,通识选修课（公选课）,科学精神与生命关怀,施晓文,老师非常好，选的人很少但很好很好的一门核心，可能完全没接触过环境的文科生收获会更大，理科生高中学过不少相关知识,多教师，从不点名，期末论文前有个小组合作实践检测水质，老师把大部分化学专业相关过程全省了零基础也可以玩！,论文2000字，花不了多少时间,90,,
近现代中外关系,通识选修课（公选课）,中华文化与世界文明,王萌,主要讲中国在近代与外国的关系,有一两次签到，无提问，无作业,开卷考试(可带手机),90,,
太极文化与健康,通识选修课（公选课）,中华文化与世界文明,蔺老师,非常好！！！推荐所有人去上,刚开始有签到，老师会认人。会有小组展示，期末写两千字感想,两千字感想，就随便写写自己的感受,93,,
固体物理,专业课程,非公选课,熊锐,对于微电子专业来说上的不是特别难，期末考试有大量PPT原题,课后题签到，没有其他了,期末闭卷考试考试考试,85,,
东方电影与东方文化,通识选修课（公选课）,艺术体验与审美鉴赏,黄献文,老师很nice 适合喜欢电影的人,无考勤和平时作业，不提问,开卷现场写影评 一两千字,92,,
人文社科经典导引,通识必修课（导引课）,非公选课,张申威,很不喜欢，大班讲得烂，小班讨论也不行,有签到，每个一周有pre,从书上12篇里选一篇写论文,82,,
语言学史,专业课程,非公选课,萧红,主要是介绍语言学研究的发展史，从古典时期讲到现代语言学,老师会进行两到三次纸质签到，但课堂管理较松。两次平时作业，分别是为语言学家写人物小传和小组展示,第13周随堂开卷考试，主要题型是名词解释、简答和论述,94,,
人文社科经典导引,通识必修课（导引课）,非公选课,苏德超,苏老师讲的很好！讲课方式类似苏格拉底哈哈,双周小测+小组展示，老师会经常提问,论文结课，依据老师发的题目即可,91,,
人文社科文献检索与数字化分析,通识选修课（公选课）,科学精神与生命关怀,黄如花,有点硬，但有用，老师让很好,有签到提问展示论文作业哈哈哈哈,写一篇报告20-30页,99,,
社会语言学,专业课程,非公选课,覃业伟,老师很好，给分也特别好,有一个小组作业，有签到无提问,以撰写不少于三千字的论文结课,93,,
素质体育,体育课,非公选课,徐峰,老师人很好 人很和善 很宽容,课上点名签到 但可以请假 迟到要销假,服从正常的学校考试安排,90,,
新媒体技术概论,通识选修课（公选课）,科学精神与生命关怀,赵建君,老师给分好，事很少人也很好,好像就只有一次签到吧,做一个视频，网页或者电子书什么的,93,,
人文社科经典导引,通识必修课（导引课）,非公选课,李松,导引课本正常内容，老师一般，给分不算好,有签到并且老师会提问，随机抽问,平时作业小测以及期末结课论文,88,,
法国社会文化,通识选修课（公选课）,中华文化与世界文明,熊芳芳,讲解法国社会文化的历史，从古罗马到现代，体系完整,三次签名签到 期中三千字论文 ,期末考试两道论述题 提前一周准备但是最后闭卷,94,,
民间艺术传承与创新,通识选修课（公选课）,艺术体验与审美鉴赏,黄敏,汉绣 前几节课讲相关文化 后面教怎么绣 老师人很好,课前签到表签到 不提问 结课交刺绣作品和小组作品推送 还有小组PPT展示,刺绣作品 小组ppt和推送,92,,
天文学概要,通识选修课（公选课）,科学精神与生命关怀,罗佳,很好，但是不很适合文科生，大悲卡绩＋拉低,不签到，课堂作业顺便完成,闭卷考试闭卷考试闭卷考试闭卷考试,84,,
中国海洋边界问题,通识选修课（公选课）,中华文化与世界文明,匡增军,讲的就是一些边界冲突的例子什么的，有ppt的,没有签到，有一次小组合作，挺简单的（不用讲，是交就行）,开卷考试，提前一个月发卷,90,,
